physician_profile_id,physician_first_name,physician_last_name,submitting_applicable_manufacturer_or_applicable_gpo_name,total_amount_of_payment_usdollars,date_of_payment,nature_of_payment_or_transfer_of_value
4964319,DANIEL,SCHMIDT,"Avita Medical Americas, LLC",16.87,6/30/2020,Food and Beverage
1382156,Darnell,Brown,"Avita Medical Americas, LLC",123.6,10/29/2020,Food and Beverage
473123,DAVID,WONG,"Avita Medical Americas, LLC",29.4,5/14/2020,Food and Beverage
372365,DEEPAK,BHARADIA,"Avita Medical Americas, LLC",133.33,6/17/2020,Food and Beverage
333984,DEREK,BELL,"Avita Medical Americas, LLC",109.19,1/27/2020,Food and Beverage
250233,Dhaval,Adhvaryu,"Avita Medical Americas, LLC",120.97,2/15/2020,Food and Beverage
8411620,Erica,Hodgman,"Avita Medical Americas, LLC",118.79,10/29/2020,Food and Beverage
1293432,ESTHER,TEO,"Avita Medical Americas, LLC",77.97,2/18/2020,Food and Beverage
16378,FRANCIS,WINSKI,"Avita Medical Americas, LLC",29,2/13/2020,Food and Beverage
438416,Hamed,Amani,"Avita Medical Americas, LLC",120.62,10/14/2020,Food and Beverage
550370,Hanna,Alemayehu,"Avita Medical Americas, LLC",82.02,9/28/2020,Food and Beverage
2562675,IRFAN,Hashmi,"Avita Medical Americas, LLC",85.16,10/20/2020,Food and Beverage
863244,JEFFREY,CARTER,"Avita Medical Americas, LLC",26.11,2/6/2020,Food and Beverage
287405,JIMMIE,Collins,"Avita Medical Americas, LLC",99.15,12/2/2020,Food and Beverage
305336,JOHN,GRISWOLD,"Avita Medical Americas, LLC",154.24,3/17/2020,Food and Beverage
7524139,Jonathan,Boyce,"Avita Medical Americas, LLC",120.62,10/14/2020,Food and Beverage
755062,JOSEPH,TURKOWSKI,"Avita Medical Americas, LLC",74.85,2/12/2020,Food and Beverage
52051,Juan,Paredes,"Avita Medical Americas, LLC",367.96,8/23/2020,Food and Beverage
809817,Katrina,Weaver,"Avita Medical Americas, LLC",82.03,9/28/2020,Food and Beverage
957156,LESLIE,GHISLETTA,"Avita Medical Americas, LLC",14.48,8/29/2020,Food and Beverage
4763176,LETITIA,BIBLE,"Avita Medical Americas, LLC",6.43,1/28/2020,Food and Beverage
1012418,LOURDES,CASTANON,"Avita Medical Americas, LLC",6.43,1/28/2020,Food and Beverage
528092,LYNN,GRIES,"Avita Medical Americas, LLC",6.43,1/28/2020,Food and Beverage
95943,Mack,Drake,"Avita Medical Americas, LLC",162.82,8/18/2020,Food and Beverage
843543,MARC,MATTHEWS,"Avita Medical Americas, LLC",16.79,1/28/2020,Food and Beverage
52047,MARY,PATTON,"Avita Medical Americas, LLC",26.79,6/13/2020,Food and Beverage
106599,MARY,WOLFE,"Avita Medical Americas, LLC",103.32,1/31/2020,Food and Beverage
335481,MATTHEW,REISS,"Avita Medical Americas, LLC",31.6,2/3/2020,Food and Beverage
4316347,May Leng,Tai,"Avita Medical Americas, LLC",99.25,2/25/2020,Food and Beverage
4316347,May Leng,Tai,"Avita Medical Americas, LLC",91.05,6/8/2020,Food and Beverage
189494,Mian,Hanif,"Avita Medical Americas, LLC",143.99,7/28/2020,Food and Beverage
1105558,MICHAEL,DITILLO,"Avita Medical Americas, LLC",6.43,1/28/2020,Food and Beverage
1391866,Michael,Martyak,"Avita Medical Americas, LLC",99.15,12/2/2020,Food and Beverage
290886,MICHAEL,PECK,"Avita Medical Americas, LLC",16.79,1/28/2020,Food and Beverage
709539,MICHAEL,SCHURR,"Avita Medical Americas, LLC",153.16,1/28/2020,Food and Beverage
4219740,NEHA,AMIN,"Avita Medical Americas, LLC",179.84,1/27/2020,Food and Beverage
898763,NICOLE,BERNAL,"Avita Medical Americas, LLC",179.85,1/27/2020,Food and Beverage
339146,Paul,Glat,"Avita Medical Americas, LLC",120.62,10/14/2020,Food and Beverage
946290,PETER,RAY,"Avita Medical Americas, LLC",30.74,1/7/2020,Food and Beverage
773089,RACHAEL,WILLIAMS,"Avita Medical Americas, LLC",179.84,1/27/2020,Food and Beverage
351787,ROBERT,GUILDAY,"Avita Medical Americas, LLC",12.3,6/13/2020,Food and Beverage
634859,Shaheena,Ahmed,"Avita Medical Americas, LLC",120.62,10/14/2020,Food and Beverage
827435,Shana,Ballow,"Avita Medical Americas, LLC",38.59,2/11/2020,Food and Beverage
119105,SHARMILA,DISSANAIKE,"Avita Medical Americas, LLC",20.92,9/25/2020,Food and Beverage
911980,SHAWN,FAGAN,"Avita Medical Americas, LLC",157.26,1/26/2020,Food and Beverage
1110827,Sigrid,BLOME-EBERWINE,"Avita Medical Americas, LLC",120.62,10/14/2020,Food and Beverage
982968,Tayseer,Chowdhry,"Avita Medical Americas, LLC",34.62,11/9/2020,Food and Beverage
750628,THOMAS,RESCH,"Avita Medical Americas, LLC",81.76,7/22/2020,Food and Beverage
155147,TODD,HUZAR,"Avita Medical Americas, LLC",63.5,3/10/2020,Food and Beverage
1097517,TRACEE,SHORT,"Avita Medical Americas, LLC",179.84,1/27/2020,Food and Beverage
788922,WILLIAM,DOMINIC,"Avita Medical Americas, LLC",74.46,1/31/2020,Food and Beverage
292413,WILLIAM,HUGHES,"Avita Medical Americas, LLC",39.08,6/11/2020,Food and Beverage
94427,WILLIAM,LINEAWEAVER,"Avita Medical Americas, LLC",147.69,3/2/2020,Food and Beverage
1029674,WILLIAM,MOHR,"Avita Medical Americas, LLC",118.16,3/11/2020,Food and Beverage
156119,WILLIAM,WASWICK,"Avita Medical Americas, LLC",40.53,6/24/2020,Food and Beverage
126966,Yuen-Yee,Fong,"Avita Medical Americas, LLC",133.57,3/2/2020,Food and Beverage
100488,ALAN,MACGILL,Integra LifeSciences Corporation,700,3/6/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
100488,ALAN,MACGILL,Integra LifeSciences Corporation,1150,3/6/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
128250,ALAN,TUCKMAN,Integra LifeSciences Corporation,2025,3/12/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
226425,BRIAN,ADAMS,Integra LifeSciences Corporation,1000,5/18/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
226425,BRIAN,ADAMS,Integra LifeSciences Corporation,125,7/20/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
226425,BRIAN,ADAMS,Integra LifeSciences Corporation,500,10/6/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
226425,BRIAN,ADAMS,Integra LifeSciences Corporation,250,12/11/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
226425,BRIAN,ADAMS,Integra LifeSciences Corporation,250,12/18/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
339147,CHARLES,LEE,Integra LifeSciences Corporation,500,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
92649,CHRISTOPHER,HYER,Integra LifeSciences Corporation,2012.5,3/6/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
92649,CHRISTOPHER,HYER,Integra LifeSciences Corporation,2443.75,3/6/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
92649,CHRISTOPHER,HYER,Integra LifeSciences Corporation,2587.5,3/6/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
92649,CHRISTOPHER,HYER,Integra LifeSciences Corporation,2875,3/6/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
92649,CHRISTOPHER,HYER,Integra LifeSciences Corporation,2012.5,12/11/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
92649,CHRISTOPHER,HYER,Integra LifeSciences Corporation,1437.5,12/11/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
92649,CHRISTOPHER,HYER,Integra LifeSciences Corporation,2300,12/11/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
92649,CHRISTOPHER,HYER,Integra LifeSciences Corporation,1437.5,12/23/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
4640,CHRISTOPHER,RITTER,Integra LifeSciences Corporation,1625,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
4640,CHRISTOPHER,RITTER,Integra LifeSciences Corporation,3500,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
4640,CHRISTOPHER,RITTER,Integra LifeSciences Corporation,2000,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
4640,CHRISTOPHER,RITTER,Integra LifeSciences Corporation,1625,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
4640,CHRISTOPHER,RITTER,Integra LifeSciences Corporation,2500,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
202266,DAVID,ADELMAN,Integra LifeSciences Corporation,2500,9/11/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
202266,DAVID,ADELMAN,Integra LifeSciences Corporation,1000,12/23/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
202266,DAVID,ADELMAN,Integra LifeSciences Corporation,1500,12/23/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
202266,DAVID,ADELMAN,Integra LifeSciences Corporation,1000,12/23/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
89723,DAVID,PEDOWITZ,Integra LifeSciences Corporation,4600,9/18/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
439598,ELIZABETH,HEWITT,Integra LifeSciences Corporation,1600,11/13/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
439598,ELIZABETH,HEWITT,Integra LifeSciences Corporation,1600,11/13/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
439598,ELIZABETH,HEWITT,Integra LifeSciences Corporation,400,11/13/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
1226445,GORDON,LEE,Integra LifeSciences Corporation,3250,9/18/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
173436,IAN,VALERIO,Integra LifeSciences Corporation,750,2/7/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
173436,IAN,VALERIO,Integra LifeSciences Corporation,4000,2/7/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
173436,IAN,VALERIO,Integra LifeSciences Corporation,1500,2/7/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
173436,IAN,VALERIO,Integra LifeSciences Corporation,500,2/7/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
173436,IAN,VALERIO,Integra LifeSciences Corporation,1750,2/7/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
173436,IAN,VALERIO,Integra LifeSciences Corporation,1500,2/7/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
1307198,JARED,DAVIS,Integra LifeSciences Corporation,2925,10/9/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
505218,JASON,NAUD,Integra LifeSciences Corporation,35,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
505218,JASON,NAUD,Integra LifeSciences Corporation,2800,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
505218,JASON,NAUD,Integra LifeSciences Corporation,3675,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
505218,JASON,NAUD,Integra LifeSciences Corporation,109.98,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
505218,JASON,NAUD,Integra LifeSciences Corporation,2800,2/14/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
505218,JASON,NAUD,Integra LifeSciences Corporation,2800,2/14/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
233936,JAVIER,LA FONTAINE,Integra LifeSciences Corporation,1500,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
233936,JAVIER,LA FONTAINE,Integra LifeSciences Corporation,1500,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
912987,JOHN,FISCHER,Integra LifeSciences Corporation,2000,11/25/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
302764,JOHN,LANTIS,Integra LifeSciences Corporation,500,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
302764,JOHN,LANTIS,Integra LifeSciences Corporation,2500,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
174207,JUVONDA,HODGE,Integra LifeSciences Corporation,900,9/18/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
174207,JUVONDA,HODGE,Integra LifeSciences Corporation,2250,9/18/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
174207,JUVONDA,HODGE,Integra LifeSciences Corporation,900,11/6/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
991703,KEVIN,CHUNG,Integra LifeSciences Corporation,4500,10/23/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
179003,LAWRENCE,DIDOMENICO,Integra LifeSciences Corporation,250,7/17/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
248007,MARK,REKANT,Integra LifeSciences Corporation,500,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
933771,MATTHEW,ENDARA,Integra LifeSciences Corporation,1012.5,2/7/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
933771,MATTHEW,ENDARA,Integra LifeSciences Corporation,3600,2/7/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
933771,MATTHEW,ENDARA,Integra LifeSciences Corporation,900,2/7/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
933771,MATTHEW,ENDARA,Integra LifeSciences Corporation,1350,2/7/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
244278,MATTHEW,RAMSEY,Integra LifeSciences Corporation,6661.03,1/24/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
244278,MATTHEW,RAMSEY,Integra LifeSciences Corporation,750,9/24/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
244278,MATTHEW,RAMSEY,Integra LifeSciences Corporation,4000,9/24/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
106575,MICHAEL,BAUER,Integra LifeSciences Corporation,6500,6/5/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
106575,MICHAEL,BAUER,Integra LifeSciences Corporation,6500,7/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
106575,MICHAEL,BAUER,Integra LifeSciences Corporation,6500,10/9/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
106575,MICHAEL,BAUER,Integra LifeSciences Corporation,6500,12/4/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
106575,MICHAEL,BAUER,Integra LifeSciences Corporation,6500,12/4/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
106575,MICHAEL,BAUER,Integra LifeSciences Corporation,6500,12/29/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
361912,MICHAEL,MCDONALD,Integra LifeSciences Corporation,3000,12/4/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
361912,MICHAEL,MCDONALD,Integra LifeSciences Corporation,4000,12/4/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
361912,MICHAEL,MCDONALD,Integra LifeSciences Corporation,1500,12/4/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
323268,NIRAV,GUPTA,Integra LifeSciences Corporation,250,12/4/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
323268,NIRAV,GUPTA,Integra LifeSciences Corporation,250,12/21/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
463690,PATRICK,BULL,Integra LifeSciences Corporation,900,12/11/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
463690,PATRICK,BULL,Integra LifeSciences Corporation,900,12/11/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
18039,REZA,OMID,Integra LifeSciences Corporation,2500,2/21/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
18039,REZA,OMID,Integra LifeSciences Corporation,2000,2/21/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
287385,RICHARD,MOORE,Integra LifeSciences Corporation,1250,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
287385,RICHARD,MOORE,Integra LifeSciences Corporation,2500,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
20846,SCOTT,NEVILLE,Integra LifeSciences Corporation,1500,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
20846,SCOTT,NEVILLE,Integra LifeSciences Corporation,1968.75,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
20846,SCOTT,NEVILLE,Integra LifeSciences Corporation,1500,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
20846,SCOTT,NEVILLE,Integra LifeSciences Corporation,1312.5,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
20846,SCOTT,NEVILLE,Integra LifeSciences Corporation,3750,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
20846,SCOTT,NEVILLE,Integra LifeSciences Corporation,2671.88,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
20846,SCOTT,NEVILLE,Integra LifeSciences Corporation,1312.5,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
20846,SCOTT,NEVILLE,Integra LifeSciences Corporation,2625,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
20846,SCOTT,NEVILLE,Integra LifeSciences Corporation,2531.25,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
20846,SCOTT,NEVILLE,Integra LifeSciences Corporation,328.13,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
20846,SCOTT,NEVILLE,Integra LifeSciences Corporation,1312.5,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
20846,SCOTT,NEVILLE,Integra LifeSciences Corporation,1125,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
120090,STEVEN,MORAN,Integra LifeSciences Corporation,2000,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
120090,STEVEN,MORAN,Integra LifeSciences Corporation,4500,1/10/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
120090,STEVEN,MORAN,Integra LifeSciences Corporation,1000,7/24/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
120090,STEVEN,MORAN,Integra LifeSciences Corporation,1500,7/24/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
120090,STEVEN,MORAN,Integra LifeSciences Corporation,250,7/24/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
120090,STEVEN,MORAN,Integra LifeSciences Corporation,250,7/24/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
120090,STEVEN,MORAN,Integra LifeSciences Corporation,500,9/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
120090,STEVEN,MORAN,Integra LifeSciences Corporation,750,9/24/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
120090,STEVEN,MORAN,Integra LifeSciences Corporation,500,9/24/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
120090,STEVEN,MORAN,Integra LifeSciences Corporation,250,11/6/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
495104,SUHAIL,MITHANI,Integra LifeSciences Corporation,500,8/7/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
495104,SUHAIL,MITHANI,Integra LifeSciences Corporation,2000,8/7/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
1391551,TOBIAS,LONG,Integra LifeSciences Corporation,1200,12/18/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
1214649,WARREN,GARNER,Integra LifeSciences Corporation,9369.41,4/17/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
1214649,WARREN,GARNER,Integra LifeSciences Corporation,4500,1/3/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
146695,WILLIAM,MONTROSS,Integra LifeSciences Corporation,900,3/12/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
146695,WILLIAM,MONTROSS,Integra LifeSciences Corporation,3375,3/12/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
146695,WILLIAM,MONTROSS,Integra LifeSciences Corporation,2700,3/12/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
146695,WILLIAM,MONTROSS,Integra LifeSciences Corporation,3600,3/12/2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program"
4190168,AJUL,SHAH,Integra LifeSciences Corporation,2600,1/24/2020,Consulting Fee
4190168,AJUL,SHAH,Integra LifeSciences Corporation,2000,1/24/2020,Consulting Fee
4190168,AJUL,SHAH,Integra LifeSciences Corporation,3200,1/31/2020,Consulting Fee
4190168,AJUL,SHAH,Integra LifeSciences Corporation,400,1/31/2020,Consulting Fee
4190168,AJUL,SHAH,Integra LifeSciences Corporation,400,8/17/2020,Consulting Fee
334995,ALLAN,LEVI,Integra LifeSciences Corporation,2500,1/3/2020,Consulting Fee
172645,ANTHONY,TICKNER,Integra LifeSciences Corporation,1200,12/23/2020,Consulting Fee
172645,ANTHONY,TICKNER,Integra LifeSciences Corporation,7717.5,4/17/2020,Consulting Fee
